Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMIDName,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Randy Vásquez","SDP",4.881919094067062,4.18450208062891,1.16666667,1.1955720230368314,0.12531969,0.10741688,0.01790281,0.23615160349854228,1.361623692903058,0.24468085106382978,0.80213904,95.73412966776922,131.9643206741779,142.07131292494358,3.785978072949966,5.325372234846304,-1.5393941618963378,5.787291665393702,5.702910603069673,"Randy Vasquez",24719,681190
"Erick Fedde","STL",5.535971374950035,3.9820144977710776,1.3902439,0.9712230482368482,0.1425,0.1025,0.04,0.2549019607843137,1.4244604707473774,0.2793103448275862,0.7,112.82126743314134,116.73403180232766,127.30362016787507,4.564748326713187,4.653957991696042,-0.08920966498285487,5.177817106100454,5.348284944568482,"Erick Fedde",17425,607200
"Bailey Falter","PIT",5.43884907012635,3.1079137543579143,1.75,1.1654676578842178,0.14973262,0.0855615,0.06417112,0.22580645161290322,1.1762590250868497,0.23809523809523808,0.70815451,87.78257253298925,113.99237115280187,119.21060679965281,3.690647583300023,4.632375257290779,-0.9417276739907554,4.843811934331784,5.060396278179052,"Bailey Falter",20070,663559
"Mitchell Parker","WSN",6.1094893913263135,3.547445453028182,1.72222222,1.0839416662030557,0.15776081,0.09160305,0.06615776,0.2457627118644068,1.3467154034644024,0.2704626334519573,0.67811935,112.93719498416134,111.84278945037163,121.81448189173274,4.6313871192312375,4.578260925128752,0.05312619410248587,4.95127595395262,5.016879027277414,"Mitchell Parker",27636,680730
"Luis Severino","ATH",6.124600937552696,2.9329074912224176,2.08823529,0.9488818353954881,0.15367965,0.07359307,0.08008658,0.2619047619047619,1.3801917605752554,0.29289940828402367,0.64421669,121.40047913643544,103.78205368315693,115.70475790085904,5.089457117121254,4.3064622028217965,0.7829949142994579,4.731999397426206,4.804033232940853,"Luis Severino",15890,622663
"Gavin Williams","CLE",8.548263051876999,5.108108409048451,1.67346939,1.2509653246649266,0.21866667,0.13066667,0.088,0.23765432098765432,1.4594595454424144,0.2826086956521739,0.77338129,97.05106950621428,117.82644682978236,107.39168477585858,3.857143084383524,4.768746525799771,-0.911603441416247,4.397488892128905,4.697380509843257,"Gavin Williams",30122,668909
"Tyler Anderson","LAA",7.560000209738997,3.436363731699544,2.2,1.472727313585519,0.19298246,0.0877193,0.10526316,0.24376731301939059,1.341818219044584,0.27137546468401486,0.76190476,101.48903328461203,115.45405778792232,118.83994269551397,4.123636478039453,4.780118885134864,-0.6564824070954112,4.858156383427744,4.676081432253202,"Tyler Anderson",12880,542881
"Kyle Hendricks","LAA",6.043321632540686,2.2418773798134803,2.69565217,1.4620939433566176,0.15856777,0.05882353,0.09974425,0.25824175824175827,1.2671480842424019,0.27526132404181186,0.7,115.15001512691904,114.3569519174183,116.52364039344621,4.678700618741177,4.7354192242789415,-0.056718605537764866,4.764950484497803,4.663848423815441,"Kyle Hendricks",12049,543294
"Sandy Alcantara","MIA",7.011627906976744,3.6627906976744184,1.91428571,1.1511627906976745,0.17402597,0.09090909,0.08311688,0.25722543352601157,1.441860465116279,0.291044776119403,0.53285968,167.52051697667923,112.06394266887456,110.98586983813942,7.011627906976744,4.554326026384221,2.4573018805925235,4.504370423908844,4.662842318668451,"Sandy Alcantara",18684,645261
"Jeffrey Springs","ATH",7.304794759123122,3.4212329884500696,2.13513514,1.4794521031135437,0.19174757,0.08980583,0.10194175,0.22192513368983957,1.2328767525946196,0.24014336917562723,0.6693712,97.04709610898537,115.25559035301353,115.63603059014868,4.068493283562245,4.774141309193768,-0.7056480256315227,4.7292338729218795,4.6461676738572795,"Jeffrey Springs",17677,605488
"Tomoyuki Sugano","BAL",5.496428870960174,1.8321429569867247,3,1.8321429569867247,0.14357683,0.04785894,0.09571788,0.27540106951871657,1.3071429283764937,0.28187919463087246,0.79476861,111.4442252873536,129.3418503146462,112.00886896838402,4.435714527441544,5.253495579544385,-0.8177810521028412,4.583280186643991,4.644283590997557,"Tomoyuki Sugano",35321,608372
"Jake Irvin","WSN",6.428571428571429,2.8285714285714287,2.27272727,1.7142857142857142,0.16778523,0.0738255,0.09395973,0.24817518248175183,1.2857142857142858,0.25949367088607594,0.74545455,114.95869190345462,125.95153983214304,113.99437008182032,4.714285714285714,5.16540022350493,-0.4511145092192157,4.6285336490188325,4.642005140985896,"Jake Irvin",21504,663623
"JP Sears","ATH",7.089928252128992,2.3309353157684356,3.04166667,1.748201486826327,0.18481013,0.06075949,0.12405063,0.2568306010928962,1.2733813299105343,0.27636363636363637,0.75664622,113.51780934306647,120.24945620522405,118.01875145492737,4.758992936360556,4.977699007774992,-0.21870607141443532,4.825112394435488,4.587259943875568,"JP Sears",23429,676664
"Bailey Ober","MIN",7.239131035110725,2.152174091519405,3.36363636,2.054347996450341,0.18226601,0.05418719,0.12807882,0.28421052631578947,1.4130435954420335,0.30526315789473685,0.75525813,130.58298474095568,129.59024445444481,118.54869732774682,5.282609133729448,5.2957316694277825,-0.013122535698334659,4.846436934594279,4.57841375662637,"Bailey Ober",21224,641927
